series_id,year,period,period_name,value
CES0000000001,2019,M12,December,151792.0
CES0000000001,2019,M11,November,151666.0
CES0000000001,2019,M10,October,151458.0
CES0000000001,2019,M09,September,151358.0
CES0000000001,2019,M08,August,151155.0
CES0000000001,2019,M07,July,150934.0
CES0000000001,2019,M06,June,150844.0
CES0000000001,2019,M05,May,150640.0
CES0000000001,2019,M04,April,150602.0
CES0000000001,2019,M03,March,150294.0
CES0000000001,2019,M02,February,150067.0
CES0000000001,2019,M01,January,150062.0
CES0000000001,2018,M12,December,149804.0
CES0000000001,2018,M11,November,149622.0
CES0000000001,2018,M10,October,149525.0
CES0000000001,2018,M09,September,149361.0
CES0000000001,2018,M08,August,149274.0
CES0000000001,2018,M07,July,149023.0
CES0000000001,2018,M06,June,148968.0
CES0000000001,2018,M05,May,148755.0
CES0000000001,2018,M04,April,148426.0
CES0000000001,2018,M03,March,148280.0
CES0000000001,2018,M02,February,148054.0
CES0000000001,2018,M01,January,147667.0
CES0000000001,2017,M12,December,147521.0
CES0000000001,2017,M11,November,147375.0
CES0000000001,2017,M10,October,147146.0
CES0000000001,2017,M09,September,146999.0
CES0000000001,2017,M08,August,146907.0
CES0000000001,2017,M07,July,146772.0
CES0000000001,2017,M06,June,146588.0
CES0000000001,2017,M05,May,146389.0
CES0000000001,2017,M04,April,146173.0
CES0000000001,2017,M03,March,145976.0
CES0000000001,2017,M02,February,145848.0
CES0000000001,2017,M01,January,145636.0
CES0000000001,2016,M12,December,145410.0
CES0000000001,2016,M11,November,145188.0
CES0000000001,2016,M10,October,145069.0
CES0000000001,2016,M09,September,144961.0
CES0000000001,2016,M08,August,144664.0
CES0000000001,2016,M07,July,144515.0
CES0000000001,2016,M06,June,144152.0
CES0000000001,2016,M05,May,143901.0
CES0000000001,2016,M04,April,143856.0
CES0000000001,2016,M03,March,143666.0
CES0000000001,2016,M02,February,143411.0
CES0000000001,2016,M01,January,143196.0
CES0000000001,2015,M12,December,143083.0
CES0000000001,2015,M11,November,142810.0
CES0000000001,2015,M10,October,142584.0
CES0000000001,2015,M09,September,142265.0
CES0000000001,2015,M08,August,142130.0
CES0000000001,2015,M07,July,141989.0
CES0000000001,2015,M06,June,141695.0
CES0000000001,2015,M05,May,141539.0
CES0000000001,2015,M04,April,141202.0
CES0000000001,2015,M03,March,140925.0
CES0000000001,2015,M02,February,140831.0
CES0000000001,2015,M01,January,140562.0
CES0000000001,2014,M12,December,140366.0
CES0000000001,2014,M11,November,140088.0
CES0000000001,2014,M10,October,139804.0
CES0000000001,2014,M09,September,139564.0
CES0000000001,2014,M08,August,139257.0
CES0000000001,2014,M07,July,139076.0
CES0000000001,2014,M06,June,138833.0
CES0000000001,2014,M05,May,138500.0
CES0000000001,2014,M04,April,138298.0
CES0000000001,2014,M03,March,137987.0
CES0000000001,2014,M02,February,137710.0
CES0000000001,2014,M01,January,137551.0
CES0000000001,2013,M12,December,137367.0
CES0000000001,2013,M11,November,137312.0
CES0000000001,2013,M10,October,137039.0
CES0000000001,2013,M09,September,136819.0
CES0000000001,2013,M08,August,136634.0
CES0000000001,2013,M07,July,136391.0
CES0000000001,2013,M06,June,136269.0
CES0000000001,2013,M05,May,136090.0
CES0000000001,2013,M04,April,135876.0
CES0000000001,2013,M03,March,135690.0
CES0000000001,2013,M02,February,135548.0
CES0000000001,2013,M01,January,135263.0
CES0000000001,2012,M12,December,135074.0
CES0000000001,2012,M11,November,134831.0
CES0000000001,2012,M10,October,134672.0
CES0000000001,2012,M09,September,134512.0
CES0000000001,2012,M08,August,134329.0
CES0000000001,2012,M07,July,134153.0
CES0000000001,2012,M06,June,134008.0
CES0000000001,2012,M05,May,133935.0
CES0000000001,2012,M04,April,133828.0
CES0000000001,2012,M03,March,133745.0
CES0000000001,2012,M02,February,133521.0
CES0000000001,2012,M01,January,133243.0
CES0000000001,2011,M12,December,132902.0
CES0000000001,2011,M11,November,132701.0
CES0000000001,2011,M10,October,132557.0
CES0000000001,2011,M09,September,132346.0
CES0000000001,2011,M08,August,132123.0
CES0000000001,2011,M07,July,131992.0
CES0000000001,2011,M06,June,131936.0
CES0000000001,2011,M05,May,131704.0
CES0000000001,2011,M04,April,131604.0
CES0000000001,2011,M03,March,131278.0
CES0000000001,2011,M02,February,131054.0
CES0000000001,2011,M01,January,130839.0
CES0000000001,2010,M12,December,130836.0
CES0000000001,2010,M11,November,130754.0
CES0000000001,2010,M10,October,130620.0
CES0000000001,2010,M09,September,130340.0
CES0000000001,2010,M08,August,130423.0
CES0000000001,2010,M07,July,130420.0
CES0000000001,2010,M06,June,130501.0
CES0000000001,2010,M05,May,130645.0
CES0000000001,2010,M04,April,130115.0
CES0000000001,2010,M03,March,129865.0
CES0000000001,2010,M02,February,129702.0
CES0000000001,2010,M01,January,129795.0
CES0000000001,2009,M12,December,129807.0
CES0000000001,2009,M11,November,130059.0
CES0000000001,2009,M10,October,130061.0
CES0000000001,2009,M09,September,130241.0
CES0000000001,2009,M08,August,130480.0
CES0000000001,2009,M07,July,130661.0
CES0000000001,2009,M06,June,131003.0
CES0000000001,2009,M05,May,131470.0
CES0000000001,2009,M04,April,131825.0
CES0000000001,2009,M03,March,132494.0
CES0000000001,2009,M02,February,133314.0
CES0000000001,2009,M01,January,134066.0
CES0000000001,2008,M12,December,134848.0
CES0000000001,2008,M11,November,135546.0
CES0000000001,2008,M10,October,136294.0
CES0000000001,2008,M09,September,136759.0
CES0000000001,2008,M08,August,137209.0
CES0000000001,2008,M07,July,137492.0
CES0000000001,2008,M06,June,137689.0
CES0000000001,2008,M05,May,137847.0
CES0000000001,2008,M04,April,138037.0
CES0000000001,2008,M03,March,138256.0
CES0000000001,2008,M02,February,138326.0
CES0000000001,2008,M01,January,138397.0
CES0000000001,2007,M12,December,138396.0
CES0000000001,2007,M11,November,138291.0
CES0000000001,2007,M10,October,138175.0
CES0000000001,2007,M09,September,138103.0
CES0000000001,2007,M08,August,138017.0
CES0000000001,2007,M07,July,138042.0
CES0000000001,2007,M06,June,138072.0
CES0000000001,2007,M05,May,137993.0
CES0000000001,2007,M04,April,137842.0
CES0000000001,2007,M03,March,137782.0
CES0000000001,2007,M02,February,137556.0
CES0000000001,2007,M01,January,137475.0
CES0000000001,2006,M12,December,137251.0
CES0000000001,2006,M11,November,137068.0
CES0000000001,2006,M10,October,136849.0
CES0000000001,2006,M09,September,136825.0
CES0000000001,2006,M08,August,136688.0
CES0000000001,2006,M07,July,136522.0
CES0000000001,2006,M06,June,136328.0
CES0000000001,2006,M05,May,136247.0
CES0000000001,2006,M04,April,136210.0
CES0000000001,2006,M03,March,136041.0
CES0000000001,2006,M02,February,135732.0
CES0000000001,2006,M01,January,135425.0
CES0000000001,2005,M12,December,135160.0
CES0000000001,2005,M11,November,135001.0
CES0000000001,2005,M10,October,134646.0
CES0000000001,2005,M09,September,134552.0
CES0000000001,2005,M08,August,134495.0
CES0000000001,2005,M07,July,134297.0
CES0000000001,2005,M06,June,133939.0
CES0000000001,2005,M05,May,133687.0
CES0000000001,2005,M04,April,133515.0
CES0000000001,2005,M03,March,133154.0
CES0000000001,2005,M02,February,133033.0
CES0000000001,2005,M01,January,132779.0
CES0000000001,2004,M12,December,132633.0
CES0000000001,2004,M11,November,132509.0
CES0000000001,2004,M10,October,132435.0
CES0000000001,2004,M09,September,132083.0
CES0000000001,2004,M08,August,131936.0
CES0000000001,2004,M07,July,131850.0
CES0000000001,2004,M06,June,131789.0
CES0000000001,2004,M05,May,131693.0
CES0000000001,2004,M04,April,131409.0
CES0000000001,2004,M03,March,131139.0
CES0000000001,2004,M02,February,130822.0
CES0000000001,2004,M01,January,130766.0
CES0000000001,2003,M12,December,130594.0
CES0000000001,2003,M11,November,130482.0
CES0000000001,2003,M10,October,130439.0
CES0000000001,2003,M09,September,130252.0
CES0000000001,2003,M08,August,130153.0
CES0000000001,2003,M07,July,130184.0
CES0000000001,2003,M06,June,130192.0
CES0000000001,2003,M05,May,130196.0
CES0000000001,2003,M04,April,130176.0
CES0000000001,2003,M03,March,130232.0
CES0000000001,2003,M02,February,130443.0
CES0000000001,2003,M01,January,130580.0
CES0000000001,2002,M12,December,130469.0
CES0000000001,2002,M11,November,130617.0
CES0000000001,2002,M10,October,130621.0
CES0000000001,2002,M09,September,130498.0
CES0000000001,2002,M08,August,130587.0
CES0000000001,2002,M07,July,130585.0
CES0000000001,2002,M06,June,130682.0
CES0000000001,2002,M05,May,130632.0
CES0000000001,2002,M04,April,130616.0
CES0000000001,2002,M03,March,130720.0
CES0000000001,2002,M02,February,130732.0
CES0000000001,2002,M01,January,130853.0
CES0000000001,2001,M12,December,130984.0
CES0000000001,2001,M11,November,131141.0
CES0000000001,2001,M10,October,131452.0
CES0000000001,2001,M09,September,131765.0
CES0000000001,2001,M08,August,132024.0
CES0000000001,2001,M07,July,132173.0
CES0000000001,2001,M06,June,132296.0
CES0000000001,2001,M05,May,132411.0
CES0000000001,2001,M04,April,132455.0
CES0000000001,2001,M03,March,132751.0
CES0000000001,2001,M02,February,132786.0
CES0000000001,2001,M01,January,132699.0
CES0000000001,2000,M12,December,132718.0
CES0000000001,2000,M11,November,132553.0
CES0000000001,2000,M10,October,132352.0
CES0000000001,2000,M09,September,132357.0
CES0000000001,2000,M08,August,132231.0
CES0000000001,2000,M07,July,132228.0
CES0000000001,2000,M06,June,132060.0
CES0000000001,2000,M05,May,132106.0
